#START
2014 10 28 20 00 00 0.00190595	0.00117185	0.000649106	0.000461871	0.000334223	0.000185103	0.000134385	0.000114742	0.000236333	6.95909e-05	0.000180015	0.00409004	0.000124551	6.20126e-05	6.07699e-05	2.81662e-05	6.18934e-05	7.03475e-05	3.4462e-05	8.88313e-05	8.15776e-05	0.000105681	7.42769e-05	1.17515e-05	1.37645e-05	1.05046e-05	1.21143e-05	8.02481e-06	7.73603e-06	7.91244e-06	1.62501e-05	3.65511e-05	1.90848e-05	8.9914e-06	3.7982e-05	1.81031e-05	3.28063e-05	4.24783e-05	1.20785e-05	3.68841e-05	4.15962e-05	5.54521e-05	0.000114673	0.000293263	0.000293263	8.44304e-05	7.54155e-05	8.15062e-05	0.000310679	0.000406674	7.50819e-05	0.000254044	6.20475e-05	3.27022e-05	4.38955e-05	4.9589e-05	1.96544e-06	9.82722e-07	4.91361e-07
2014 10 29 20 00 00 0.00190747	0.00117277	0.000649602	0.00046222	0.000334465	0.000185244	0.000134482	0.000114819	0.00023648	6.96347e-05	0.000180115	0.00409227	0.000124634	6.20484e-05	6.08026e-05	2.83233e-05	6.19259e-05	7.03823e-05	3.45392e-05	8.97879e-05	8.16923e-05	0.000105724	7.45764e-05	1.17591e-05	1.37724e-05	1.05102e-05	1.21725e-05	8.10084e-06	7.77646e-06	7.97906e-06	1.63752e-05	3.68362e-05	1.93511e-05	9.07693e-06	3.79944e-05	1.82185e-05	3.30913e-05	4.30828e-05	1.22031e-05	3.74818e-05	4.23504e-05	5.66665e-05	0.000117337	0.000293416	0.000293416	8.61834e-05	7.7325e-05	8.29766e-05	0.000316492	0.000413589	7.63641e-05	0.000257898	6.21812e-05	3.2776e-05	4.40056e-05	4.97177e-05	1.97063e-06	9.85316e-07	4.92658e-07
2014 10 30 20 00 00 0.00191081	0.00117492	0.000650871	0.000463134	0.000335206	0.000185601	0.000134796	0.000115136	0.00023727	6.98635e-05	0.000180823	0.00410885	0.000124985	6.22819e-05	6.10497e-05	2.85883e-05	6.21722e-05	7.06785e-05	3.47415e-05	9.10555e-05	8.21354e-05	0.000106195	7.50963e-05	1.17967e-05	1.3809e-05	1.05429e-05	1.22503e-05	8.19971e-06	7.82874e-06	8.06569e-06	1.65539e-05	3.72198e-05	1.9711e-05	9.19068e-06	3.81807e-05	1.83707e-05	3.35409e-05	4.3928e-05	1.23684e-05	3.82876e-05	4.33607e-05	5.82916e-05	0.000120904	0.000294758	0.000294758	8.85384e-05	7.98997e-05	8.49495e-05	0.000324307	0.000422848	7.80838e-05	0.000263049	6.23149e-05	3.28499e-05	4.41158e-05	4.98464e-05	1.97582e-06	9.87909e-07	4.93955e-07
2014 10 31 20 00 00 0.00190441	0.00117046	0.000648015	0.000461029	0.000333282	0.000184807	0.000133955	0.000114177	0.000234667	6.91141e-05	0.000178316	0.0040496	0.000123913	6.14708e-05	6.01635e-05	2.77544e-05	6.12868e-05	6.95902e-05	3.40738e-05	8.7433e-05	8.05794e-05	0.000104387	7.33309e-05	1.16755e-05	1.36907e-05	1.04306e-05	1.20025e-05	7.94774e-06	7.69334e-06	7.84331e-06	1.60404e-05	3.60022e-05	1.8572e-05	8.8563e-06	3.74423e-05	1.79326e-05	3.21049e-05	4.12987e-05	1.18893e-05	3.57872e-05	4.03464e-05	5.34977e-05	0.000110347	0.000289831	0.000289831	8.14228e-05	7.19896e-05	7.9008e-05	0.000300521	0.000395258	7.29049e-05	0.000247666	6.24486e-05	3.29237e-05	4.4226e-05	4.99752e-05	1.98101e-06	9.90503e-07	4.95252e-07
2014 11 01 20 00 00 0.0019018	0.00116857	0.000646767	0.000460102	0.0003324	0.000184462	0.000133566	0.000113718	0.000233394	6.87482e-05	0.000177071	0.00402011	0.000123399	6.10695e-05	5.97221e-05	2.76519e-05	6.08456e-05	6.90454e-05	3.38671e-05	8.75795e-05	7.99577e-05	0.000103475	7.30855e-05	1.16165e-05	1.36331e-05	1.03752e-05	1.2006e-05	7.96585e-06	7.70247e-06	7.85884e-06	1.60319e-05	3.602e-05	1.85894e-05	8.86741e-06	3.70672e-05	1.79496e-05	3.19863e-05	4.12844e-05	1.1907e-05	3.58369e-05	4.04352e-05	5.36524e-05	0.00011068	0.000287365	0.000287365	8.16102e-05	7.21658e-05	7.91694e-05	0.000301106	0.000396079	7.30457e-05	0.00024812	6.25823e-05	3.29975e-05	4.43361e-05	5.01039e-05	1.98619e-06	9.93097e-07	4.96548e-07
2014 11 02 19 00 00 0.00190028	0.00116743	0.000645981	0.000459513	0.000331817	0.000184246	0.000133307	0.000113404	0.000232507	6.84935e-05	0.000176192	0.00399926	0.000123046	6.07872e-05	5.94097e-05	2.7651e-05	6.0533e-05	6.86581e-05	3.375e-05	8.81359e-05	7.95512e-05	0.00010282	7.30535e-05	1.15756e-05	1.35927e-05	1.0336e-05	1.20374e-05	8.01289e-06	7.72725e-06	7.8999e-06	1.60837e-05	3.61746e-05	1.87341e-05	8.9163e-06	3.67968e-05	1.80164e-05	3.20375e-05	4.15687e-05	1.19789e-05	3.61666e-05	4.08625e-05	5.43455e-05	0.000112197	0.000285616	0.000285616	8.2595e-05	7.32265e-05	7.99972e-05	0.000304355	0.0004	7.37675e-05	0.000250304	6.27104e-05	3.30683e-05	4.44417e-05	5.02273e-05	1.99116e-06	9.95582e-07	4.97791e-07
2014 11 03 19 00 00 0.00190586	0.0011711	0.000648211	0.000461131	0.000333186	0.00018487	0.000133893	0.000114024	0.000234107	6.89561e-05	0.000177673	0.00403407	0.000123735	6.12714e-05	5.99294e-05	2.79539e-05	6.10515e-05	6.92879e-05	3.40706e-05	8.91713e-05	8.03608e-05	0.000103842	7.36672e-05	1.16511e-05	1.36665e-05	1.04035e-05	1.21035e-05	8.09271e-06	7.77033e-06	7.9701e-06	1.62507e-05	3.64949e-05	1.9031e-05	9.00981e-06	3.7207e-05	1.81425e-05	3.25068e-05	4.23089e-05	1.21143e-05	3.68279e-05	4.16859e-05	5.56653e-05	0.000115094	0.000288468	0.000288468	8.45151e-05	7.5327e-05	8.16075e-05	0.000310741	0.000407551	7.5172e-05	0.000254538	6.28441e-05	3.31421e-05	4.45518e-05	5.0356e-05	1.99635e-06	9.98176e-07	4.99088e-07
2014 11 04 19 00 00 0.00191034	0.00117405	0.000649988	0.00046242	0.000334267	0.000185368	0.000134353	0.000114507	0.000235341	6.9313e-05	0.000178809	0.00406074	0.000124271	6.16431e-05	6.03275e-05	2.81193e-05	6.14493e-05	6.97704e-05	3.42894e-05	8.95556e-05	8.09473e-05	0.000104626	7.40019e-05	1.17094e-05	1.37244e-05	1.04561e-05	1.21275e-05	8.12501e-06	7.78837e-06	7.99857e-06	1.63271e-05	3.66064e-05	1.9131e-05	9.04401e-06	3.75211e-05	1.81908e-05	3.27363e-05	4.25946e-05	1.21641e-05	3.70533e-05	4.19748e-05	5.61298e-05	0.000116109	0.000290642	0.000290642	8.51787e-05	7.60388e-05	8.21681e-05	0.000312942	0.000410208	7.5662e-05	0.000256057	6.29777e-05	3.32159e-05	4.4662e-05	5.04848e-05	2.00154e-06	1.00077e-06	5.00385e-07
2014 11 05 19 00 00 0.00192293	0.00118251	0.000655211	0.000466235	0.000337582	0.000186828	0.00013578	0.000116059	0.000239419	7.049e-05	0.000182643	0.00415105	0.000126	6.28912e-05	6.1677e-05	2.83764e-05	6.27983e-05	7.14172e-05	3.49069e-05	8.89128e-05	8.27997e-05	0.000107332	7.45425e-05	1.19008e-05	1.39136e-05	1.06312e-05	1.20848e-05	8.08264e-06	7.76693e-06	7.96144e-06	1.63364e-05	3.6387e-05	1.89195e-05	8.98454e-06	3.86158e-05	1.8116e-05	3.29518e-05	4.23349e-05	1.20789e-05	3.65892e-05	4.14198e-05	5.52453e-05	0.000114156	0.000298074	0.000298074	8.38583e-05	7.45568e-05	8.10712e-05	0.000308532	0.000405141	7.47076e-05	0.000253286	6.31114e-05	3.32898e-05	4.47721e-05	5.06135e-05	2.00673e-06	1.00336e-06	5.01682e-07
2014 11 06 19 00 00 0.00194045	0.00119434	0.000662537	0.000471591	0.000342262	0.000188874	0.000137797	0.000118266	0.000245234	7.2168e-05	0.000188128	0.00428028	0.000128458	6.46749e-05	6.36084e-05	2.89121e-05	6.47294e-05	7.37768e-05	3.58563e-05	8.90143e-05	8.55388e-05	0.000111219	7.56694e-05	1.21734e-05	1.41837e-05	1.08817e-05	1.2092e-05	8.09338e-06	7.77397e-06	7.97111e-06	1.64778e-05	3.64126e-05	1.89372e-05	8.99338e-06	4.019e-05	1.81312e-05	3.35862e-05	4.26678e-05	1.20919e-05	3.663e-05	4.14781e-05	5.53383e-05	0.000114355	0.000308715	0.000308715	8.3982e-05	7.46747e-05	8.11811e-05	0.000308943	0.00040569	7.48052e-05	0.000253648	6.32451e-05	3.33636e-05	4.48823e-05	5.07422e-05	2.01191e-06	1.00596e-06	5.02979e-07
